Terms,Definition
Ad hoc basis,"Procedures or committees formed specifically for a singular, temporary purpose rather than regular or routine operation."
Allowances,Supplementary financial payments allocated to lawmakers to cover specific operational or travel-related costs.
Amendments,"Formal, written proposals to alter, insert text into, or delete sections from an active bill or parliamentary motion."
Asset declaration,"The mandatory requirement for public officials to regularly report their wealth, real property, and debts to prevent illicit enrichment."
Attendance,The official registration and verification of a lawmaker’s presence during plenary sittings or committee meetings.
Base salary,"The standard, non-variable fixed monetary pay rate provided regularly to a Member of Parliament for their core service."
Bill,A formal draft text of a proposed statute introduced into parliament for legislative debate and potential enactment.
Biographical profile,"Official public data summarizing an individual politician's educational background, career history, and political party ties."
Budgetary estimates,Forward-looking financial statements predicting spending plans and line-item projections for public entities in the upcoming year.
Chamber,The physical meeting hall or the specific house within a unicameral or bicameral parliamentary building.
Code of conduct,"A binding written document defining ethical responsibilities, integrity rules, and behavior for members."
Codified in law,"Formally drafted, passed by the legislature, and permanently integrated into a country's active statutory legal system."
Committee operations and hearings,"Specific evidence-gathering, administrative, and inquiry sessions run by specialized sub-groups of lawmakers."
Committee stages,The parliamentary phase where a bill is reviewed and amended line-by-line by a specialized group of members.
Conflicts of interest,Situations where a lawmaker’s private financial or personal interests clash with their official public duties.
Constituency development funds,Specialized capital pots distributed directly to MPs to fund localized development projects inside their voting districts.
Convention / Custom,"Traditional, unwritten legislative practices adopted through historical habit rather than constitutional law."
Core accessibility infrastructure,"Physical building adaptations—such as wheelchair ramps, elevators, and accessible restrooms—supporting disabled persons."
Creative Commons / Open license,"Legal copyright frameworks authorizing the public to copy, share, and re-use state records without financial charge. Refered to CC-Licenses"
Deliberation,"The formal process of debating, discussing, and collective thinking on legislation or public policy within a house."
Detailed agendas,Scheduled chronological lists outlining specific subject items and draft bills to be handled during a legislative meeting.
Disclosure of conflicts of interest,The transparent declaration of private investments or ties that could bias an official’s voting and legislative partiality.
Drafts of bills,"The preliminary, working text versions of a piece of legislation before its formal introduction into a chamber."
Enactment,The definitive legal process or moment when a bill passes all houses and receives formal assent to become active law.
Established by law,"A mandate, rule, or structural requirement that is formally decreed and ordered by national statutory legislation."
First reading,The initial procedural step where a bill is formally brought forward and its broad objectives are announced.
Foreign parliamentary travel,Official cross-border international travel undertaken by lawmakers to engage in inter-parliamentary diplomacy.
Freedom of Information (FOI) / Rights to Information (RTI),The statutory framework granting citizens the legal right to request and receive documents held by public entities.
Gazetted date,"The official calendar date on which a new statute is published in the government's official journal, triggering enforcement."
Hansard,"The official, verbatim, word-for-word edited transcript of debates and speeches delivered during formal sittings of parliament."
Internal procedure,"An operational rule, protocol, or workflow dictated solely by the internal administrative practices of a specific parliamentary chamber."
Law,"A formal rule passed by parliament, given official executive assent, and legally binding on all citizens within the state."
Live broadcast,"Real-time, uninterrupted video or audio streaming of house proceedings via public television or online networks."
Lobbying,Structured efforts by external entities or interest group advocates to influence legislative voting outcomes or policies.
Lower Chamber,"One of the two houses of a bicameral parliament, usually consisting of members directly elected by national vote."
Mandated by law,Legal requirements rendered strictly compulsory under the explicit decree of an active state statute.
Members of Parliament (MPs),Individuals who have been officially elected or appointed to serve as representatives inside a national legislative body.
Monetary and non-monetary benefits,"Direct cash payments versus indirect structural perks provided to lawmakers, such as state-funded health insurance."
MP staff,"Assistants, researchers, and clerks employed to support individual lawmakers in completing their official duties."
National budget,The state's annual financial plan detailing all predicted public revenues and itemized expenditure allocations.
Non-binding guideline,Advisory suggestions or ethical codes providing behavioral targets without punitive backing or legal enforcement.
Open data formats,"Non-proprietary digital file types (e.g., CSV, XML, JSON) that are machine-readable and open for automatic extraction. Standardized by Open Data Handbook"
Parliament spending,"The internal financial outlays, payroll transactions, and structural procurement costs run by the parliament itself."
Pensions and retirement benefits,The statutory financial allocations and post-tenure funds provided to former assembly members after service.
Petitions,Formal administrative channels and requests allowing the public to engage with and voice grievances directly to parliament.
Physical accessibility,Architectural modifications added to structural sites allowing all bodies to navigate public compounds safely.
Plenary sessions,"Sittings where the full, complete assembly house meets together to carry out official business and voting."
Post-legislative scrutiny,The ex-post review of an active law to check if it has been implemented properly and met policy goals.
Pre-legislative scrutiny,The evaluation of draft policy options or bills before their formal introduction into parliament to gauge viability.
Procurement,"The formal, regulated public system of acquiring external goods, technology, or vendor contracts for state use."
Recordings,Audio or video multi-media files saved to preserve historical actions taken inside plenary or committee spaces.
Sanctions,Legally authorized penalties or administrative punishments levied on individuals for violating rules or codes.
Scrutiny of bills,The structured analytical check and evaluation of draft statutes to establish their potential domestic effects.
Standing orders,"The written internal protocol rules governing how a house regulates its arguments, committees, and daily business."
Transcripts,Written text files providing a literal word-for-word account of discussions inside parliamentary committees.
Transparency,"The institutional trait of keeping data, budgets, votes, and text logs free and easily accessible to all citizens."
Upper Chamber,"One of the two houses of a bicameral parliament, often acting as a revising chamber representing regional divisions."
Voting records ,Official logs demonstrating precisely how each separate lawmaker voted (Yes / No / Abstain) on a given question.
Website accessibility standards,Technical metrics and guidelines ensuring website structures and data are usable by individuals with functional impairments. Standardized by W3C WAI.