response_id,chamber_id,question_id,selected_option_ids,country_context,supporting_evidence
KHM_up_0613,KHM_up,Q1.1,O0001,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
KHM_up_0614,KHM_up,Q1.2,O0004,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
KHM_up_0615,KHM_up,Q2.1,O0007,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
KHM_up_0616,KHM_up,Q2.2,O0012,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
KHM_up_0617,KHM_up,Q3.1,O0015,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
KHM_up_0618,KHM_up,Q3.2,O0018,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
KHM_up_0619,KHM_up,Q4.1,O0021,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
KHM_up_0620,KHM_up,Q4.2,O0022,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
KHM_up_0621,KHM_up,Q5.1,O0026,Confirmed via secondary reporting; not directly verified with the secretariat.,Illustrative placeholder — not independently verified.
KHM_up_0622,KHM_up,Q5.2,O0030,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
KHM_up_0623,KHM_up,Q6.1,O0032,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
KHM_up_0624,KHM_up,Q6.2,O0036,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
KHM_up_0625,KHM_up,Q7.1,O0038,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
KHM_up_0626,KHM_up,Q7.2,O0042,"Available in the national language only, no official translation.",No public documentation found at time of assessment.
KHM_up_0627,KHM_up,Q8.1,O0043,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
KHM_up_0628,KHM_up,Q8.2,O0046,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
KHM_up_0629,KHM_up,Q9.1,O0049,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
KHM_up_0630,KHM_up,Q9.2,O0054,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
KHM_up_0631,KHM_up,Q10.1,O0055,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
KHM_up_0632,KHM_up,Q10.2,O0061,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
KHM_up_0633,KHM_up,Q10.3,O0066,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
KHM_up_0634,KHM_up,Q11.1,O0067,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
KHM_up_0635,KHM_up,Q11.2,O0073,Publicly available on the parliament's official website.,Cross-checked with civil society monitoring reports.
KHM_up_0636,KHM_up,Q11.3,O0075,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.
KHM_up_0637,KHM_up,Q12.1,O0080,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.
KHM_up_0638,KHM_up,Q12.2,O0084,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
KHM_up_0639,KHM_up,Q13.1,O0087,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
KHM_up_0640,KHM_up,Q13.2,O0090,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
KHM_up_0641,KHM_up,Q14.1,O0091,Publicly available on the parliament's official website.,"See parliament website, official publications section."
KHM_up_0642,KHM_up,Q15.1,O0096,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
KHM_up_0643,KHM_up,Q15.2,O0101,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.
KHM_up_0644,KHM_up,Q16.1,O0103,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
KHM_up_0645,KHM_up,Q16.2,O0107,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
KHM_up_0646,KHM_up,Q17.1,O0110,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
KHM_up_0647,KHM_up,Q17.2,O0113,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
KHM_up_0648,KHM_up,Q17.3,O0119,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
KHM_up_0649,KHM_up,Q18.1,O0120,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.
KHM_up_0650,KHM_up,Q18.2,O0127,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
KHM_up_0651,KHM_up,Q18.3,O0130,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.
KHM_up_0652,KHM_up,Q19.1,O0134,Publicly available on the parliament's official website.,No public documentation found at time of assessment.
KHM_up_0653,KHM_up,Q20.1,O0136,"Available in the national language only, no official translation.",Illustrative placeholder — not independently verified.
KHM_up_0654,KHM_up,Q20.2,O0140,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
KHM_up_0655,KHM_up,Q21.1,O0143,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
KHM_up_0656,KHM_up,Q21.2,O0148,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
KHM_up_0657,KHM_up,Q22.1,O0149,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
KHM_up_0658,KHM_up,Q22.2,O0152,"Available in the national language only, no official translation.","See parliament website, official publications section."
KHM_up_0659,KHM_up,Q22.3,O0160,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
KHM_up_0660,KHM_up,Q23.1,O0163,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
KHM_up_0661,KHM_up,Q23.2,O0168,"Available in the national language only, no official translation.",Reference: most recent annual transparency report.
KHM_up_0662,KHM_up,Q23.3,O0172,"Provided only upon formal request, not proactively disclosed.",Reference: most recent annual transparency report.
KHM_up_0663,KHM_up,Q24.1,O0174,Publicly available on the parliament's official website.,Reference: most recent annual transparency report.
KHM_up_0664,KHM_up,Q24.2,O0180,"Provided only upon formal request, not proactively disclosed.",No public documentation found at time of assessment.
KHM_up_0665,KHM_up,Q25.1,O0181;O0182,Practice varies by session; not consistently applied.,Illustrative placeholder — not independently verified.
KHM_up_0666,KHM_up,Q25.2,O0186,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
KHM_up_0667,KHM_up,Q25.3,O0192,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
KHM_up_0668,KHM_up,Q26.1,O0195,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
KHM_up_0669,KHM_up,Q26.2,O0200,Practice varies by session; not consistently applied.,Cross-checked with civil society monitoring reports.
KHM_up_0670,KHM_up,Q26.3,O0203,Publicly available on the parliament's official website.,"See parliament website, official publications section."
KHM_up_0671,KHM_up,Q27.1,O0205,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
KHM_up_0672,KHM_up,Q27.2,O0210,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
KHM_up_0673,KHM_up,Q28.1,O0214,"Available in the national language only, no official translation.",Cross-checked with civil society monitoring reports.
KHM_up_0674,KHM_up,Q29.1,O0217,Practice varies by session; not consistently applied.,"See parliament website, official publications section."
KHM_up_0675,KHM_up,Q29.2,O0225,Confirmed via secondary reporting; not directly verified with the secretariat.,Reference: most recent annual transparency report.
KHM_up_0676,KHM_up,Q30.1,O0227,"Provided only upon formal request, not proactively disclosed.",Illustrative placeholder — not independently verified.
KHM_up_0677,KHM_up,Q30.2,O0231,Practice varies by session; not consistently applied.,Reference: most recent annual transparency report.
KHM_up_0678,KHM_up,Q30.3,O0234,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
KHM_up_0679,KHM_up,Q31.1,O0238,"Provided only upon formal request, not proactively disclosed.",Cross-checked with civil society monitoring reports.
KHM_up_0680,KHM_up,Q31.2,O0242,Confirmed via secondary reporting; not directly verified with the secretariat.,Cross-checked with civil society monitoring reports.
