dimension,relevance,indicator,question_id,question_text,answer_type,max_score,answer_options
Accountability,Supporting integrity of MPs,Code of conduct for MPs,Q1.1,Does a formal code of conduct exist to regulate the ethics and behavior of Members of Parliament?,single,1,"a) Yes, codified in law or standing orders [1.0] | b) Yes, but exists only as a non-binding guideline [0.5] | c) No, no such code exists [0.0]"
Accountability,Supporting integrity of MPs,Code of conduct for MPs,Q1.2,To what extent are the provisions of the code of conduct effectively implemented and applied in practice for Members of Parliament?,single,1,a) Fully operational as behaviour and sanctions are clear and can be applied when required [1.0] | b) Partially operational as behaviour or sanctions are not clearly stated [0.5] | c) Not operational as behaviour nor sanctions are stated [0.0]
Accountability,Supporting integrity of MPs,Conflicts of interest of MPs,Q2.1,Is disclosure of conflicts of interest of MPs ensured by law?,single,1,"a) Yes, guaranteed by law [1.0] | b) Yes, established by convention or internal custom [0.5] | c) No, not required to disclose either by law or custom [0.0]"
Accountability,Supporting integrity of MPs,Conflicts of interest of MPs,Q2.2,Can conflicts of interest of MPs be accessed by the public?,single,1,a) Completely accessible without the need for a request [1.0] | b) Accessible only upon request and/or with limited information available [0.5] | c) Not accessible to the public [0.0]
Accountability,Supporting integrity of MPs,Asset and liability disclosure of MPs,Q3.1,Is disclosure of assets and liabilities of Members of Parliament mandated by law?,single,1,"a) Yes, guaranteed by law [1.0] | b) Yes, established by convention or internal custom [0.5] | c) No, not required to disclose either by law or custom [0.0]"
Accountability,Supporting integrity of MPs,Asset and liability disclosure of MPs,Q3.2,Are asset and liability declarations of Members of Parliament publicly accessible?,single,1,a) Completely accessible without the need for a request [1.0] | b) Accessible only upon request and/or with limited information available [0.5] | c) Not accessible to the public [0.0]
Accountability,Upholding citizen's ability to hold Parliament accountable,Formal channel for public queries,Q4.1,Does Parliament provide formal and systematic channels for the public to raise queries to Parliament or MPs?,single,1,"a) Yes, formal system exists [1.0] | b) Yes, can raise queries but no formal system exists [0.5] | c) No, not available [0.0]"
Accountability,Upholding citizen's ability to hold Parliament accountable,Formal channel for public queries,Q4.2,Does Parliament track and publicly report on the status of above public queries raised to Parliament or MPs?,single,1,"a) Tracking exists and reports are publicly available [1.0] | b) Tracking exists, but public reporting does not exist [0.5] | c) Tracking or reporting does not exist [0.0]"
Accountability,Creating accountability for legislation,Pre-legislative scrutiny of bills,Q5.1,Is there scrutiny of bills before plenary deliberation by Parliament to assess viability?,single,1,"a) Mandatory [1.0] | b) Not mandatory, but commonly practised [0.5] | c) Not practised [0.0]"
Accountability,Creating accountability for legislation,Pre-legislative scrutiny of bills,Q5.2,How consistently are bills subject to scrutiny prior to plenary deliberation by Parliament?,single,1,a) All bills undergo scrutiny [1.0] | b) Scrutiny occurs inconsistently or selectively [0.25] | c) Scrutiny is absent [0.0]
Accountability,Creating accountability for legislation,Post-legislative scrutiny of laws,Q6.1,Is there post-legislative scrutiny of laws by Parliament to assess effectiveness after enactment?,single,1,"a) Mandatory [1.0] | b) Not mandatory, but applied selectively or occasionally [0.5] | c) Not practised [0.0]"
Accountability,Creating accountability for legislation,Post-legislative scrutiny of laws,Q6.2,How consistently are laws subject to post-legislative scrutiny by Parliament after enactment?,single,1,a) Majority of substantive laws undergo scrutiny [1.0] | b) Scrutiny occurs inconsistently or selectively [0.5] | c) Scrutiny is absent [0.0]
Citizen Participation,Participation in legislative consideration,Public feedback on bills prior to Parliament deliberation,Q7.1,"Is there regular public consultation for proposals or feedback on bills during the drafting stage, prior to formal introduction in Parliament?",single,1,a) The public is openly invited to provide feedback on most or all draft bills [1.0] | b) Public consultation occurs through closed calls or only for selected draft bills [0.5] | c) No formal mechanisms exist to facilitate public feedback on draft bills [0.0]
Citizen Participation,Participation in legislative consideration,Public feedback on bills prior to Parliament deliberation,Q7.2,"Is information provided on how public feedback given during the drafting of bills, prior to formal introduction in Parliament, is considered?",single,1,a) Information is consistently provided [1.0] | b) Information is provided inconsistently or selectively [0.5] | c) No information is provided [0.0]
Citizen Participation,Participation in legislative consideration,Public feedback on bills during Parliament deliberation,Q8.1,Is there regular public consultation for proposals or feedback on bills during parliamentary review or committee stages?,single,1,a) The public is openly invited to provide feedback on most or all bills [1.0] | b) Public consultation occurs through closed calls or only for selected bills [0.5] | c) No formal mechanisms exist to facilitate public feedback on bills [0.0]
Citizen Participation,Participation in legislative consideration,Public feedback on bills during Parliament deliberation,Q8.2,Is information provided on how public feedback given during the parliamentary review or committee stages of a bill is considered?,single,1,a) Information is consistently provided [1.0] | b) Information is provided inconsistently or selectively [0.5] | c) No information is provided [0.0]
Citizen Participation,Participation in legislative consideration,Public feedback on laws post-enactment,Q9.1,Is the public formally able to provide feedback on enacted laws to inform review or amendment?,single,1,"a) Public can provide feedback through formal processes that are consistently used [1.0] | b) Public can provide feedback, but only selectively or on an ad hoc basis [0.5] | c) No formal opportunity exists for the public to provide feedback [0.0]"
Citizen Participation,Participation in legislative consideration,Public feedback on laws post-enactment,Q9.2,"Is information provided on how public feedback given post-enactment of a law, is considered?",single,1,a) Information is consistently provided [1.0] | b) Information is provided inconsistently or selectively [0.5] | c) No information is provided [0.0]
Transparency,Availability of information of personnel tied to Parliament,Availability of MP personal information,Q10.1,Is the following information about Members of Parliament publicly made available by Parliament? [Select all that apply],multiple,1,"a) Yes, a name list identifying MPs [0.25] | b) Yes, all roles held by MPs in current Parliament [0.25] | c) Yes, biographical profile information of MPs [0.25] | d) Yes, contact information to reach MPs [0.25] | e) Not available [0.0]"
Transparency,Availability of information of personnel tied to Parliament,Availability of MP personal information,Q10.2,"Is each of the categories selected above available for all MPs, or only some?",single,1,a) Available for all or most MPs [1.0] | b) Available for some MPs [0.5] | c) Not available [0.0]
Transparency,Availability of information of personnel tied to Parliament,Availability of MP personal information,Q10.3,In what format does Parliament publish the above information about Members of Parliament?,single,1,a) Real-time API [1.0] | b) Machine Readable Format [0.5] | c) Non-Machine Readable Format [0.25] | d) Not available [0.0]
Transparency,Availability of information of personnel tied to Parliament,Availability of MPs' staff personal information,Q11.1,Is the following information about staff of Members of Parliament publicly made available by Parliament? [Select all that apply],single,1,"a) Yes, published names to identify MPs' staff [0.25] | b) Yes, titles of MPs' staff in current Parliament [0.25] | c) Yes, biographical profile information of MPs' staff [0.25] | d) Yes, contact information to reach MPs' staff [0.25] | e) Not available [0.0]"
Transparency,Availability of information of personnel tied to Parliament,Availability of MPs' staff personal information,Q11.2,"Is each of the categories of information selected above available for all staff of Members of Parliament, or only some?",single,1,a) Available for all or most staff [1.0] | b) Available for some [0.5] | c) Not available [0.0]
Transparency,Availability of information of personnel tied to Parliament,Availability of MPs' staff personal information,Q11.3,In what format does Parliament publish the above information on staff of Members of Parliament?,single,1,a) Real-time API [1.0] | b) Machine-Readable Format [0.5] | c) Non-Machine Readable Format [0.25] | d) Not available [0.0]
Citizen Participation,Citizen's access to Parliament,Physical accessibility for persons with disabilities,Q12.1,Does Parliament have facilities to ensure physical accessibility for persons with disabilities within the parliamentary buildings?,single,1,"a) Core accessibility infrastructure is in place (e.g., ramps, lifts, accessible restrooms, designated seating) [1.0] | b) Some accessibility measures exist, but coverage is partial or inconsistent [0.5] | c) No meaningful accessibility measures exist [0.0]"
Citizen Participation,Citizen's access to Parliament,Physical accessibility for persons with disabilities,Q12.2,Is physical accessibility infrastructure for persons with disabilities available across parliamentary buildings?,single,1,a) Available in all or most buildings [1.0] | b) Available in some buildings [0.5] | c) Not available in any building [0.0]
Citizen Participation,Citizen's access to Parliament,Web content accessibility for persons with disabilities,Q13.1,Does the official Parliament website adhere to the AAA standard of the Web Content Accessibility Guidelines to make its content accessible for persons with disabilities?,single,1,a) Accessibility standards are met and applied consistently across the website [1.0] | b) Accessibility standards are applied partially or inconsistently [0.5] | c) Accessibility standards are not applied [0.0]
Citizen Participation,Citizen's access to Parliament,Web content accessibility for persons with disabilities,Q13.2,To what extent is the AAA standard of the Web Content Accessibility Guidelines applied across content on the official Parliament website?,single,1,a) Applied across all or most content [1.0] | b) Applied across some content [0.5] | c) Not applied [0.0]
Transparency,Availability of agendas and schedules,Openness of plenary sessions to public,Q14.1,Are plenary sessions physically open to the public?,single,1,"a) Yes, and no permission required [1.0] | b) Yes, with permission [0.5] | c) No [0.0]"
Transparency,Availability of agendas and schedules,Schedule of plenary sessions,Q15.1,Does Parliament publish detailed agendas for plenary sessions to enable meaningful preparation?,single,1,"a) Detailed agendas are consistently published [1.0] | b) Agendas are published, but lack sufficient detail [0.5] | c) Agendas are not published [0.0]"
Transparency,Availability of agendas and schedules,Schedule of plenary sessions,Q15.2,How far in advance is the agenda of plenary sessions published?,single,1,a) More than 72 hours in advance [1.0] | b) More than 48 hours and up to 72 hours in advance [0.75] | c) More than 24 hours and up to 48 hours in advance [0.5] | d) Up to 24 hours in advance [0.25] | e) Not published in advance [0.0]
Transparency,Availability of recordings and transcripts,Recordings of plenary sessions,Q16.1,Are recordings of plenary sessions published by Parliament?,single,1,a) Recordings are published for most or all sessions [1.0] | b) Recordings are published for some sessions [0.5] | c) Recordings are not published [0.0]
Transparency,Availability of recordings and transcripts,Recordings of plenary sessions,Q16.2,How soon are recordings of plenary sessions published by Parliament?,single,1,a) Livestreamed or recordings available immediately after the session [1.0] | b) Recordings are published after some delay following the session [0.5] | c) Recordings are not published [0.0]
Transparency,Availability of recordings and transcripts,Transcripts of plenary sessions,Q17.1,Are verbatim official records of plenary sessions published by Parliament?,single,1,a) Transcripts are published for most or all sessions [1.0] | b) Transcripts are published for some sessions [0.5] | c) Transcripts are not published [0.0]
Transparency,Availability of recordings and transcripts,Transcripts of plenary sessions,Q17.2,How soon are corrected verbatim official records of plenary sessions published by Parliament?,single,1,a) Published within 1 week [1.0] | b) Published more than 1 week and up to 2 weeks [0.75] | c) Published more than 2 weeks and up to 3 weeks [0.5] | d) Published more than 3 weeks after [0.25] | e) Not published [0.0]
Transparency,Availability of recordings and transcripts,Transcripts of plenary sessions,Q17.3,In what format does Parliament publish plenary session transcripts?,single,1,a) Real-time API [1.0] | b) Machine-Readable Format [0.5] | c) Non-Machine-Readable Format [0.25] | d) Not available [0.0]
Transparency,Availability of attendance data,Attendance in plenary sessions,Q18.1,Are the attendees of daily plenary sessions published by Parliament?,single,1,a) Attendees are published for most or all sessions [1.0] | b) Attendees are published for some sessions [0.5] | c) Attendees are not published [0.0]
Transparency,Availability of attendance data,Attendance in plenary sessions,Q18.2,How soon are daily attendance lists of Members of Parliament for plenary sessions made publicly available?,single,1,a) Published within 24 hours [1.0] | b) Published more than 24 hours and up to 48 hours [0.75] | c) Published more than 48 hours and up to 72 hours [0.5] | d) Published more than 72 hours after [0.25] | e) Not published [0.0]
Transparency,Availability of attendance data,Attendance in plenary sessions,Q18.3,In what format does Parliament publish attendance lists of Members of Parliament for plenary sessions?,single,1,a) Real-time API [1.0] | b) Machine-Readable Format [0.5] | c) Non-Machine-Readable Format [0.25] | d) Not available [0.0]
Transparency,Availability of agendas and schedules,Openness of committee meetings to public,Q19.1,Are Parliament committee meetings physically open to the public?,single,1,"a) Yes, and no permission required [1.0] | b) Yes, with permission [0.5] | c) No [0.0]"
Transparency,Availability of agendas and schedules,Schedule of committee meetings,Q20.1,Does Parliament publish the agendas of all committee meetings to allow meaningful preparation?,single,1,"a) Detailed agendas are consistently published for all committees [1.0] | b) Agendas are published, but lack sufficient detail or not applicable to all committees [0.5] | c) Agendas are not published [0.0]"
Transparency,Availability of agendas and schedules,Schedule of committee meetings,Q20.2,How far in advance is the agenda of committee meetings published?,single,1,a) More than 72 hours in advance [1.0] | b) More than 48 hours and up to 72 hours in advance [0.75] | c) More than 24 hours and up to 48 hours in advance [0.5] | d) Up to 24 hours in advance [0.25] | e) Not published in advance [0.0]
Transparency,Availability of recordings and transcripts,Recordings of committee meetings,Q21.1,Are recordings of committee meetings published by Parliament?,single,1,a) Recordings are published for most or all committee meetings [1.0] | b) Recordings are published for some committee meetings [0.5] | c) Recordings are not published [0.0]
Transparency,Availability of recordings and transcripts,Recordings of committee meetings,Q21.2,How soon are recordings of committee meetings published by Parliament?,single,1,a) Livestreamed or recordings available immediately after the meeting [1.0] | b) Recordings published after some delay following the meeting [0.5] | c) Recordings are not published [0.0]
Transparency,Availability of recordings and transcripts,Transcripts of committee meetings,Q22.1,Are transcripts of committee meetings published by Parliament?,single,1,a) Transcripts are published for most or all meetings [1.0] | b) Transcripts are published for some meetings [0.5] | c) Transcripts are not published [0.0]
Transparency,Availability of recordings and transcripts,Transcripts of committee meetings,Q22.2,How soon are transcripts of committee meetings published by Parliament?,single,1,a) Published within 1 week [1.0] | b) Published more than 1 week and up to 2 weeks [0.75] | c) Published more than 2 weeks and up to 3 weeks [0.5] | d) Published more than 3 weeks after [0.25] | e) Not published [0.0]
Transparency,Availability of recordings and transcripts,Transcripts of committee meetings,Q22.3,In what format does Parliament publish committee meeting transcripts?,single,1,a) Real-time API [1.0] | b) Machine-Readable Format [0.5] | c) Non-Machine-Readable Format [0.1] | d) Not available [0.0]
Transparency,Availability of attendance data,Attendance in committee meetings,Q23.1,Are attendees of committee meetings published by Parliament?,single,1,a) Attendees are published for most or all meetings [1.0] | b) Attendees are published for some meetings [0.5] | c) Attendees are not published [0.0]
Transparency,Availability of attendance data,Attendance in committee meetings,Q23.2,How soon are attendance lists of Members of Parliament for committee meetings made publicly available?,single,1,a) Published within 24 hours [1.0] | b) Published more than 24 hours and up to 48 hours [0.75] | c) Published more than 48 hours and up to 72 hours [0.5] | d) Published more than 72 hours after [0.25] | e) Not published [0.0]
Transparency,Availability of attendance data,Attendance in committee meetings,Q23.3,In what format does Parliament publish attendance lists of Members of Parliament for committee meetings?,single,1,a) Real-time API [1.0] | b) Machine-Readable Format [0.5] | c) Non-Machine-Readable Format [0.25] | d) Not available [0.0]
Transparency,Availability of draft legislation,Publishing of bills prior to introduction in Parliament,Q24.1,Are draft bills published by Parliament before plenary deliberation?,single,1,a) Drafts are published for all or most bills [1.0] | b) Drafts are published for some bills [0.5] | c) Drafts are not published [0.0]
Transparency,Availability of draft legislation,Publishing of bills prior to introduction in Parliament,Q24.2,How far in advance to plenary deliberation in Parliament are draft bills published?,single,1,a) Published more than 72 hours before deliberation [1.0] | b) Published more than 48 hours and up to 72 hours before deliberation [0.75] | c) Published more than 24 hours and up to 48 hours before deliberation [0.5] | d) Published up to 24 hours before deliberation [0.25] | e) Not published [0.0]
Transparency,Availability of agendas and schedules,Publishing of details tied to bill amendments post introduction in Parliament,Q25.1,Does Parliament publish the following details for bills that are under consideration? [Select all that apply],multiple,1,a) Gazetted date [0.25] | b) First reading date [0.25] | c) Second reading date [0.25] | d) Third reading date [0.25] | e) None of the above is published [0.0]
Transparency,Availability of agendas and schedules,Publishing of details tied to bill amendments post introduction in Parliament,Q25.2,In what format does Parliament publish the above timeline details of a bill?,single,1,a) Real-time API [1.0] | b) Machine-Readable Format [0.5] | c) Non-Machine-Readable Format [0.25] | d) Not available [0.0]
Transparency,Availability of agendas and schedules,Publishing of details tied to bill amendments post introduction in Parliament,Q25.3,Are amendments to bills made publicly available as they are discussed?,single,1,a) All or most amendments are published [1.0] | b) Some amendments are published [0.5] | c) No amendments are published [0.0]
Transparency,Availability of voting records,MP voting records in plenary sessions,Q26.1,Are voting breakdowns showing how each Member of Parliament voted for all business published by Parliament?,single,1,a) Published for most or all votes [1.0] | b) Published for some votes [0.5] | c) Not published [0.0]
Transparency,Availability of voting records,MP voting records in plenary sessions,Q26.2,How soon are above voting records made publicly available by Parliament?,single,1,a) Published within 24 hours [1.0] | b) Published more than 24 hours and up to 48 hours [0.75] | c) Published more than 48 hours and up to 72 hours [0.5] | d) Published more than 72 hours after [0.25] | e) Not published [0.0]
Transparency,Availability of voting records,MP voting records in plenary sessions,Q26.3,In what format are above voting records published by Parliament?,single,1,a) Real-time API [1.0] | b) Machine-Readable Format [0.5] | c) Non-Machine Readable Format [0.25] | d) Not available [0.0]
Transparency,Availability of financial information tied to functioning of Parliament,MP salaries and benefits,Q27.1,Does Parliament publish the following details tied to salaries and benefits received per Member of Parliament? [Select all that apply],multiple,1,"a) Base salary [0.25] | b) All allowances given (housing, travel, constituency etc.) [0.25] | c) Pensions or retirement benefits [0.25] | d) All other monetary or non-monetary benefits (e.g., health insurance, perks) [0.25] | e) Not published [0.0]"
Transparency,Availability of financial information tied to functioning of Parliament,MP salaries and benefits,Q27.2,Does Parliament publish detailed annual reports of actual spending on salaries and benefits of Members of Parliament?,single,1,"a) Yes, published every fiscal year [1.0] | b) Yes, published irregularly or partially [0.5] | c) No, not published [0.0]"
Transparency,Availability of financial information tied to functioning of Parliament,Constituency development funds,Q28.1,Are utilization details of funds associated with MPs' constituencies published?,single,1,"a) Yes, Parliament publishes details on constituency fund utilization per Member of Parliament [1.0] | b) Yes, details are published in the aggregate [0.5] | c) No, reports are not published [0.0] | d) Not applicable, as no such funds exist or are entirely managed outside parliamentary oversight [N/A]"
Transparency,Availability of financial information tied to functioning of Parliament,Parliament spending,Q29.1,Does Parliament publish detailed information on its yearly spending? [Select all that apply],multiple,1,a) Administrative and staff salaries [0.2] | b) Committee operations and hearings [0.2] | c) Staff employed by MPs and offices [0.2] | d) Local travel and accommodation expenses [0.2] | e) Delegations and foreign parliamentary travel [0.2] | f) Not available [0.0]
Transparency,Availability of financial information tied to functioning of Parliament,Parliament spending,Q29.2,How often does Parliament publish detailed reports of its own spending?,single,1,a) Reports are published consistently every year [1.0] | b) Reports are published irregularly or only partially [0.5] | c) Reports are not published [0.0]
Transparency,Availability of National Budget documents,National budget transparency,Q30.1,Are detailed draft national budget estimates publicly available before parliamentary plenary debate?,single,1,a) Estimates are consistently published before debate [1.0] | b) Estimates are published irregularly or partially before debate [0.25] | c) Estimates are not published before debate [0.0]
Transparency,Availability of National Budget documents,National budget transparency,Q30.2,How long before plenary debate are the detailed draft budget estimates made public?,single,1,a) More than 4 weeks before [1.0] | b) 2 weeks to less than 4 weeks before [0.75] | c) 1 week to less than 2 weeks before [0.5] | d) Less than 1 week before [0.25] | e) Not available [0.0]
Transparency,Availability of National Budget documents,National budget transparency,Q30.3,Are all amendments proposed to the national budget published at each stage of parliamentary consideration until enactment of the budget into law?,single,1,"a) Yes, published at every stage [1.0] | b) Yes, published at some stages [0.5] | c) No, not published [0.0]"
Transparency,Regulations to promote parliamentary transparency,Freedom of information,Q31.1,Is there a framework for information disclosure in Parliament?,single,1,a) Established by law [1.0] | b) Established by internal procedure [0.5] | c) No framework exists or Parliament is exempt from the national framework [0.0]
Transparency,Regulations to promote parliamentary transparency,Freedom of information,Q31.2,Is there an option to challenge a refusal of information disclosure by Parliament?,single,1,a) Established by law [1.0] | b) Established by procedure [0.5] | c) No option exists [0.0]
